Title|Journal|ISSN|DOI|Vol|Issue|Year|Month|page|Number of Author|Authors
Alpha Backgrounds in {{NaI}}({{Tl}}) Crystals of {{COSINE-100|Astroparticle Physics|0927-6505|10.1016/j.astropartphys.2024.102945|158|NA|2024|jun|102945|62|
Lowering Threshold of {{NaI}}({{Tl}}) Scintillator to 0.7 {{keV}} in the {{COSINE-100}} Experiment|Journal of Instrumentation|1748--0221|10.1088/1748-0221/19/12/P12013|19|NA|2024|dec|P12013|60|
Nonproportionality of {{NaI}}({{Tl}}) Scintillation Detector for Dark Matter Search Experiments|The European Physical Journal C|1434--6052|10.1140/epjc/s10052-024-12770-1|84|NA|2024|may|484|63|
Background Study of the {{AMoRE-pilot}} Experiment|Astroparticle Physics|0927-6505|10.1016/j.astropartphys.2024.102991|162|NA|2024|oct|102991|110|
Radioassay of the Materials for {{AMoRE-II}} Experiment|Frontiers in Physics|2296--424X|10.3389/fphy.2024.1362209|12|NA|2024|jun|1362209|111|
